# Time(Gyr) Mg(Msol) Ms(Msol) SFR(Msol/yr) SSFR(/yr) Md(Msol) M_Z(Msol) Z, f_g 
8.8 9825834080.85 50783939472.99 2.82 5.56170006486e-11 550435974.27 642120603.34 0.0649481074788 0.16 
8.85 9749136974.85 50924159112.37 2.80 5.5069987145e-11 549979060.81 641031541.97 0.0653502387741 0.16 
8.9 9672980879.94 51063383710.01 2.78 5.45301104314e-11 549494753.99 639919246.21 0.0657526449387 0.16 
8.95 9597361567.54 51201621043.22 2.76 5.39972486808e-11 548983452.48 638784067.56 0.0661553304148 0.16 
9.0 9522274842.10 51338878828.56 2.75 5.34712827669e-11 548445549.29 637626353.01 0.0665582997018 0.16 
9.05 9447716540.87 51475164722.25 2.73 5.29520961908e-11 547881431.91 636446445.12 0.0669615573575 0.16 
9.1 9373682533.67 51610486320.68 2.71 5.24395750072e-11 547291482.32 635244682.02 0.067365107999 0.15 
9.15 9300168722.55 51744851160.86 2.69 5.19336077562e-11 546676077.19 634021397.51 0.0677689563031 0.15 
9.2 9227171041.62 51878266720.89 2.67 5.14340853951e-11 546035587.86 632776921.05 0.0681731070073 0.15 
9.25 9154685456.76 52010740420.44 2.65 5.09409012331e-11 545370380.53 631511577.86 0.0685775649109 0.15 
9.3 9082707965.39 52142279621.14 2.63 5.04539508688e-11 544680816.24 630225688.92 0.0689823348758 0.15 
9.35 9011234596.20 52272891627.14 2.61 4.99731321277e-11 543967251.04 628919571.06 0.0693874218269 0.15 
9.4 8940261408.94 52402583685.46 2.59 4.94983450049e-11 543230036.00 627593536.93 0.0697928307539 0.15 
9.45 8869784494.14 52531362986.49 2.58 4.90294916062e-11 542469517.33 626247895.15 0.0701985667115 0.14 
9.5 8799799972.89 52659236664.42 2.56 4.85664760936e-11 541686036.43 624882950.24 0.0706046348206 0.14 
9.55 8730303996.61 52786211797.68 2.54 4.81092046306e-11 540879929.94 623499002.68 0.0710110402694 0.14 
